day,phase,box,mouse,time_bin,time_window,s_wall_count,s_wall_duration,s_wall_mean_duration,nest_duration,outside_nest_duration,nest_count,nest_mean_duration,s_wall_duration_fraction,s_wall_event_rate,ramp1_count,ramp1_duration,ramp1_mean_duration,ramp1_duration_fraction,ramp1_event_rate,ramp2_count,ramp2_duration,ramp2_mean_duration,ramp2_duration_fraction,ramp2_event_rate,non_wall_count,non_wall_duration,non_wall_mean_duration,non_wall_duration_fraction,non_wall_event_rate,woodstick_count,woodstick_duration,woodstick_mean_duration,woodstick_duration_fraction,woodstick_event_rate,feeder_prox_count,feeder_prox_duration,feeder_prox_mean_duration,feeder_prox_duration_fraction,feeder_prox_event_rate,feeder_dist_count,feeder_dist_duration,feeder_dist_mean_duration,feeder_dist_duration_fraction,feeder_dist_event_rate,water_prox_count,water_prox_duration,water_prox_mean_duration,water_prox_duration_fraction,water_prox_event_rate,water_dist_count,water_dist_duration,water_dist_mean_duration,water_dist_duration_fraction,water_dist_event_rate,motionless_count,motionless_duration,motionless_mean_duration,motionless_duration_fraction,motionless_event_rate,speeding_count,speeding_duration,speeding_mean_duration,speeding_duration_fraction,speeding_event_rate,chasing_duration,chasing_count,chasing_mean_duration,chased_duration,chased_count,chased_mean_duration,chasing_duration_fraction,chasing_event_rate,chased_duration_fraction,chased_event_rate,chasing_duration_ratio,chased_duration_ratio,chasing_event_ratio,chased_event_ratio,total_distance,valid_locomotion_duration,mean_speed,median_speed,mean_abs_angular_velocity,mean_abs_acceleration,valid_locomotion_duration_fraction,nest_frames,weighted_sum,alone_sum,weighted_co_occupancy,alone_fraction,feeding_frames,drinking_frames,ramps_frames,s_wall_frames,feeding_together_frames,drinking_together_frames,ramps_together_frames,s_wall_together_frames,feeding_alone_frames,drinking_alone_frames,ramps_alone_frames,s_wall_alone_frames,feeding_together_fraction,feeding_alone_fraction,drinking_together_fraction,drinking_alone_fraction,ramps_together_fraction,ramps_alone_fraction,s_wall_together_fraction,s_wall_alone_fraction,time_point,exp,sex,age,mouse_ID,background,treatment,condition
1,active,1,blue,16,12-16,246.0,1277.88,5.194634146341464,1252.4,13147.6,116.0,10.796551724137933,0.0971949253095622,0.0187106392041132,159.0,624.84,3.9298113207547174,0.0475250235784477,0.0120934619246098,123.0,465.6,3.785365853658537,0.0354133073716876,0.0093553196020566,463.0,8753.56,18.90617710583153,0.6657914752502357,0.0352155526483921,22.0,42.28,1.921818181818182,0.0032157960388207,0.0016733091971158,89.0,711.28,7.99191011235955,0.0540996075329337,0.0067692962974231,91.0,710.96,7.812747252747253,0.0540752684900666,0.0069214153153427,82.0,396.64,4.837073170731707,0.0301682436338191,0.0062368797347044,47.0,239.76,5.101276595744681,0.018236027868204,0.003574796921111,143.0,865.24,6.050629370629371,0.0658097295323861,0.0108765097812528,14.0,31.92,2.28,0.0024278195259971,0.0010648331254373,33.6,33.0,1.0181818181818183,0.0,0.0,0.0,0.0025555995010496,0.0025099637956737,0.0,0.0,1.0,0.0,1.0,0.0,606.8171245934674,11464.0,0.0529324079373226,0.0195309669131781,1.898681762407579,0.0461707939935882,0.8719462107152636,31426.0,22423.0,2768.0,0.71351746961115,0.0880799338127664,35736.0,16039.0,27543.0,32193.0,7196.0,638.0,3082.0,4460.0,28540.0,15401.0,24461.0,27733.0,0.2013655697336019,0.798634430266398,0.0397780410250015,0.9602219589749984,0.1118977598663907,0.8881022401336093,0.1385394340384555,0.8614605659615444,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,active,1,blue,20,16-20,139.0,599.0,4.309352517985611,6519.12,7880.88,106.0,61.501132075471695,0.0760067403640202,0.0176376242247058,86.0,292.12,3.3967441860465115,0.0370669265361228,0.0109124869303935,71.0,238.92,3.365070422535211,0.0303164113652282,0.0090091461867202,299.0,12173.04,40.712508361204016,1.5446295337576514,0.0379399254905543,11.0,17.08,1.5527272727272723,0.0021672706601293,0.001395783212027,120.0,1125.04,9.375333333333334,0.1427556313508136,0.0152267259493863,27.0,148.24,5.49037037037037,0.0188100821228086,0.0034260133386119,60.0,399.16,6.652666666666667,0.0506491660829755,0.0076133629746931,20.0,54.08,2.7039999999999997,0.0068621778278567,0.002537787658231,142.0,672.2,4.733802816901409,0.0852950431931459,0.0180182923734405,11.0,29.0,2.636363636363636,0.003679792104435,0.001395783212027,34.0,32.0,1.0625,0.0,0.0,0.0,0.0043142390189928,0.0040604602531696,0.0,0.0,1.0,0.0,1.0,0.0,418.88428752767345,7773.0,0.05388965489871,0.0145020712940752,1.893524358720648,0.0443838585023556,0.9863111733715016,163084.0,104622.66666666666,8043.0,0.6415262482319949,0.0493181427975767,31979.0,11411.0,13433.0,15114.0,1394.0,570.0,1202.0,2140.0,30585.0,10841.0,12231.0,12974.0,0.043591106663748,0.956408893336252,0.0499518008938743,0.9500481991061256,0.0894811285639842,0.9105188714360156,0.141590578271801,0.858409421728199,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,active,1,blue,24,20-24,122.0,555.24,4.551147540983607,5092.4,9307.6,133.0,38.28872180451128,0.0596544759121578,0.0131075680089389,39.0,151.44,3.883076923076923,0.0162705745842107,0.0041901241995788,36.0,142.28,3.9522222222222223,0.0152864325927199,0.0038678069534573,310.0,12071.12,38.93909677419355,1.2969100520005157,0.0333061154325497,4.0,6.6,1.65,0.0007090979414671,0.0004297563281619,104.0,862.96,8.297692307692309,0.0927156302376552,0.0111736645322102,28.0,501.16,17.89857142857143,0.0538441703554084,0.0030082942971335,63.0,367.4,5.8317460317460315,0.0394731187416734,0.0067686621685504,25.0,74.36,2.9744,0.0079891701405303,0.002685977051012,162.0,820.8,5.066666666666666,0.0881859985388284,0.0174051312905582,29.0,69.8,2.4068965517241376,0.0074992479264257,0.003115733379174,34.0,30.0,1.1333333333333333,0.0,0.0,0.0,0.0036529287893764,0.0032231724612144,0.0,0.0,1.0,0.0,1.0,0.0,404.7471944863666,9168.0,0.0441478178977275,0.0091071016349074,1.8985829533218792,0.0362969891861619,0.9850015041471484,127443.0,83070.33333333331,17543.0,0.6518234295593585,0.1376536961622058,34235.0,11132.0,7418.0,14003.0,6854.0,309.0,654.0,733.0,27381.0,10823.0,6764.0,13270.0,0.2002044691105593,0.7997955308894407,0.0277578153072224,0.9722421846927776,0.0881639255864114,0.9118360744135886,0.0523459258730272,0.9476540741269728,baseline,male_P35,male,P35,1072482,CTRL,MDMA,CTRL_MDMA
1,active,1,green,16,12-16,63.0,535.92,8.506666666666666,7426.0,6974.0,278.0,26.712230215827336,0.0768454258675078,0.009033553197591,31.0,212.56,6.856774193548387,0.0304789217092056,0.0044450817321479,31.0,257.52,8.307096774193548,0.0369257241181531,0.0044450817321479,124.0,11535.2,93.02580645161292,1.6540292515055923,0.0177803269285919,5.0,14.64,2.928,0.0020992256954402,0.0007169486664754,89.0,796.4,8.948314606741572,0.1141955835962145,0.0127616862632635,48.0,265.6,5.533333333333334,0.0380843131631775,0.0068827071981646,28.0,144.04,5.144285714285714,0.0206538571838256,0.0040149125322626,11.0,33.36,3.0327272727272727,0.0047834815027244,0.001577287066246,54.0,252.0,4.666666666666667,0.0361342127903642,0.0077430455979351,2.0,7.12,3.56,0.001020934901061,0.0002867794665901,1.6,2.0,0.8,12.8,13.0,0.9846153846153848,0.0002294235732721,0.0002867794665901,0.0018353885861772,0.0018640665328362,0.1111111111111111,0.888888888888889,0.1333333333333333,0.8666666666666667,261.0926206167146,5179.0,0.0504137131911014,0.0145232746664864,2.012619092006909,0.0451107752763764,0.7426154287353025,185928.0,103148.33333333331,13525.0,0.5547756837772326,0.0727432124263155,26687.0,4474.0,11814.0,13461.0,9093.0,601.0,2228.0,3210.0,17594.0,3873.0,9586.0,10251.0,0.3407276951324615,0.6592723048675385,0.1343316942333482,0.8656683057666518,0.1885898087015405,0.8114101912984595,0.2384666815244038,0.7615333184755961,baseline,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,active,1,green,20,16-20,21.0,102.64,4.887619047619047,11383.0,3017.0,407.0,27.96805896805897,0.0340205502154458,0.0069605568445475,8.0,43.4,5.425,0.0143851508120649,0.0026516407026847,10.0,60.24,6.024,0.0199668544912164,0.0033145508783559,38.0,14115.36,371.4568421052631,4.678607888631091,0.0125952933377527,,,,,,46.0,765.64,16.644347826086957,0.2537752734504475,0.0152469340404375,13.0,106.84,8.218461538461538,0.0354126615843553,0.0043089161418627,24.0,246.96,10.29,0.0818561484918793,0.0079549221080543,4.0,9.0,2.25,0.0029830957905203,0.0013258203513423,32.0,150.12,4.69125,0.04975803778588,0.0106065628107391,,,,,,0.0,0.0,0.0,8.4,8.0,1.05,0.0,0.0,0.002784222737819,0.0026516407026847,0.0,1.0,0.0,1.0,101.50692864051014,2736.0,0.0371004856142215,0.0069741100555054,2.0016946350955087,0.0313242423857845,0.9068611203181968,284982.0,167072.3333333333,19423.0,0.5862557401286163,0.0681551817307759,21871.0,6427.0,2609.0,2587.0,2258.0,510.0,288.0,531.0,19613.0,5917.0,2321.0,2056.0,0.1032417356316583,0.8967582643683416,0.0793527306674965,0.9206472693325036,0.1103871215024913,0.8896128784975086,0.2052570545032856,0.7947429454967143,baseline,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,active,1,green,24,20-24,55.0,401.12,7.293090909090909,10154.24,4245.76,260.0,39.05476923076923,0.0944754296050648,0.0129541000904431,24.0,109.68,4.57,0.0258328308712692,0.0056526982212842,20.0,118.04,5.902,0.0278018540850165,0.0047105818510702,87.0,13449.28,154.5894252873563,3.1676967138981005,0.0204910310521555,,,,,,108.0,1291.6,11.95925925925926,0.3042093759421163,0.0254371419957793,8.0,112.0,14.0,0.0263792583659933,0.001884232740428,23.0,153.48,6.673043478260869,0.036149005125113,0.0054171691287307,4.0,16.24,4.06,0.003824992463069,0.000942116370214,47.0,213.36,4.539574468085107,0.0502524871872173,0.011069867350015,2.0,4.64,2.32,0.0010928549894482,0.000471058185107,0.0,0.0,0.0,8.8,7.0,1.2571428571428571,0.0,0.0,0.0020726560144709,0.0016487036478745,0.0,1.0,0.0,1.0,124.70303477362084,4047.0,0.0308136977449026,0.0068745725567097,1.9799163440609129,0.0277084392130248,0.9531862375640638,254116.0,165613.66666666663,5583.0,0.6517246716722546,0.0219702812888602,35206.0,4270.0,5737.0,10083.0,7973.0,277.0,516.0,1464.0,27233.0,3993.0,5221.0,8619.0,0.2264670794750894,0.7735329205249105,0.0648711943793911,0.9351288056206088,0.0899424786473766,0.9100575213526232,0.1451948824754537,0.8548051175245462,baseline,male_P35,male,P35,1072240,ELA,MDMA,ELA_MDMA
1,active,1,red,16,12-16,41.0,372.52,9.085853658536584,8624.44,5775.5599999999995,87.0,99.13149425287357,0.0644993732209517,0.0070988787234484,34.0,216.36,6.3635294117647065,0.037461302453788,0.0058868750389572,21.0,139.16,6.626666666666667,0.024094633247685,0.0036360110534736,123.0,11800.8,95.94146341463414,2.0432304399919663,0.0212966361703453,5.0,11.52,2.304,0.0019946117779055,0.0008657169174937,77.0,676.36,8.783896103896105,0.1171072588632098,0.0133320405294032,47.0,483.92,10.296170212765958,0.0837875461427117,0.0081377390244409,22.0,84.88,3.858181818181818,0.0146964103913733,0.0038091544369723,25.0,73.84,2.9536,0.0127849074375471,0.0043285845874685,70.0,303.96,4.342285714285714,0.0526286628482779,0.012120036844912,3.0,7.04,2.3466666666666667,0.0012189294198311,0.0005194301504962,0.8,1.0,0.8,10.0,11.0,0.9090909090909092,0.0001385147067989,0.0001731433834987,0.0017314338349874,0.0019045772184861,0.074074074074074,0.9259259259259258,0.0833333333333333,0.9166666666666666,162.1151350530774,4118.0,0.0393674441605336,0.0140672039347823,1.94404266564103,0.0356827713829267,0.7130044532478237,215698.0,102198.33333333331,42483.0,0.4738028787162298,0.1969559291231258,29131.0,4015.0,8943.0,9354.0,9162.0,275.0,1248.0,1979.0,19969.0,3740.0,7695.0,7375.0,0.3145103154714908,0.6854896845285091,0.0684931506849315,0.9315068493150684,0.139550486413955,0.8604495135860449,0.2115672439598032,0.7884327560401967,baseline,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
1,active,1,red,20,16-20,49.0,571.44,11.662040816326533,9247.84,5152.16,128.0,72.24875,0.1109127045743921,0.00951057420577,23.0,119.36,5.189565217391304,0.0231669823918511,0.0044641470761777,28.0,208.92,7.461428571428571,0.0405499829197851,0.0054346138318685,106.0,13061.76,123.22415094339622,2.5352007701624175,0.0205738952206453,6.0,13.72,2.286666666666666,0.0026629607776156,0.0011645601068289,99.0,1312.32,13.255757575757576,0.2547125865656346,0.0192152417626781,25.0,185.08,7.403200000000001,0.0359227974286512,0.004852333778454,33.0,436.92,13.24,0.0848032669792863,0.0064050805875593,18.0,80.76,4.486666666666667,0.015674979037918,0.0034936803204869,73.0,324.16,4.44054794520548,0.062917300704947,0.0141688146330859,6.0,13.72,2.286666666666666,0.0026629607776156,0.0011645601068289,1.0,1.0,1.0,7.8,7.0,1.1142857142857143,0.0001940933511381,0.0001940933511381,0.0015139281388776,0.0013586534579671,0.1136363636363636,0.8863636363636362,0.125,0.875,155.38891381263954,5017.0,0.0309724763429618,0.0082438736240017,2.0066646072020045,0.0276471879035861,0.9737663426601658,231324.0,153295.66666666663,11840.0,0.6626881199817859,0.0511836212412028,37559.0,12993.0,8258.0,14335.0,3126.0,442.0,419.0,2132.0,34433.0,12551.0,7839.0,12203.0,0.0832290529566814,0.9167709470433184,0.0340183175556068,0.9659816824443932,0.0507386776459191,0.9492613223540808,0.1487268922218346,0.8512731077781653,baseline,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
1,active,1,red,24,20-24,4.0,62.16,15.54,12532.08,1867.92,97.0,129.19670103092784,0.0332776564306822,0.0021414193327337,6.0,40.16,6.6933333333333325,0.0214998501006467,0.0032121289991006,4.0,18.72,4.68,0.0100218424771938,0.0021414193327337,23.0,14234.56,618.8939130434783,7.620540494239582,0.0123131611632189,,,,,,59.0,686.16,11.629830508474576,0.367339072337145,0.0315859351578226,8.0,56.52,7.065,0.0302582551715276,0.0042828386654674,24.0,207.36,8.64,0.1110111782089168,0.0128485159964024,4.0,12.0,3.0,0.0064242579982012,0.0021414193327337,21.0,95.92,4.567619047619048,0.0513512355989549,0.0112424514968521,2.0,4.84,2.42,0.0025911173926078,0.0010707096663668,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0010707096663668,0.0010707096663668,0.0,1.0,0.0,1.0,37.51919094496828,1770.0,0.021197283019756,0.004832445300367,1.9289232098338016,0.0180295398427728,0.9475780547346782,313399.0,185071.66666666663,22208.0,0.5905304952047282,0.0708617449321791,18634.0,5512.0,1482.0,1558.0,3809.0,278.0,85.0,682.0,14825.0,5234.0,1397.0,876.0,0.2044112911881506,0.7955887088118493,0.0504354136429608,0.9495645863570392,0.0573549257759784,0.9426450742240216,0.4377406931964056,0.5622593068035944,baseline,male_P35,male,P35,1072442,CTRL,MDMA,CTRL_MDMA
1,active,1,yellow,16,12-16,102.0,650.84,6.38078431372549,6694.36,7705.64,136.0,49.22323529411764,0.0844628090593383,0.0132370575318857,50.0,241.28,4.8256,0.0313121298166018,0.0064887536921008,78.0,401.04,5.141538461538461,0.0520449956136025,0.0101224557596773,156.0,11796.92,75.62128205128205,1.5309461641083673,0.0202449115193546,4.0,7.88,1.97,0.001022627581875,0.000519100295368,58.0,496.76,8.564827586206896,0.0644670656817603,0.0075269542828369,57.0,484.32,8.496842105263157,0.0628526637631656,0.0073971792089949,29.0,221.68,7.644137931034483,0.0287685383692983,0.0037634771414184,18.0,121.4,6.7444444444444445,0.0157546939644208,0.0023359513291563,87.0,357.4,4.108045977011494,0.0463816113911368,0.0112904314242554,3.0,7.24,2.4133333333333336,0.0009395715346162,0.000389325221526,0.0,0.0,0.0,13.2,12.0,1.1,0.0,0.0,0.0017130309747146,0.0015573008861042,0.0,1.0,0.0,1.0,296.2364154628926,6016.0,0.049241425442635,0.0166478227053409,2.0625624552188477,0.0440054393375152,0.7807268442335743,167495.0,96586.33333333331,13150.0,0.576652039364359,0.0785098062628735,24642.0,8624.0,16186.0,16373.0,3800.0,1057.0,2695.0,3575.0,20842.0,7567.0,13491.0,12798.0,0.1542082623163704,0.8457917376836296,0.122564935064935,0.877435064935065,0.1665019152353886,0.8334980847646114,0.218347279056984,0.781652720943016,baseline,male_P35,male,P35,1072421,ELA,MDMA,ELA_MDMA
