day,phase,box,mouse,time_bin,time_window,s_wall_count,s_wall_duration,s_wall_mean_duration,nest_duration,outside_nest_duration,nest_count,nest_mean_duration,s_wall_duration_fraction,s_wall_event_rate,ramp1_count,ramp1_duration,ramp1_mean_duration,ramp1_duration_fraction,ramp1_event_rate,ramp2_count,ramp2_duration,ramp2_mean_duration,ramp2_duration_fraction,ramp2_event_rate,non_wall_count,non_wall_duration,non_wall_mean_duration,non_wall_duration_fraction,non_wall_event_rate,woodstick_count,woodstick_duration,woodstick_mean_duration,woodstick_duration_fraction,woodstick_event_rate,feeder_prox_count,feeder_prox_duration,feeder_prox_mean_duration,feeder_prox_duration_fraction,feeder_prox_event_rate,feeder_dist_count,feeder_dist_duration,feeder_dist_mean_duration,feeder_dist_duration_fraction,feeder_dist_event_rate,water_prox_count,water_prox_duration,water_prox_mean_duration,water_prox_duration_fraction,water_prox_event_rate,water_dist_count,water_dist_duration,water_dist_mean_duration,water_dist_duration_fraction,water_dist_event_rate,motionless_count,motionless_duration,motionless_mean_duration,motionless_duration_fraction,motionless_event_rate,speeding_count,speeding_duration,speeding_mean_duration,speeding_duration_fraction,speeding_event_rate,chasing_duration,chasing_count,chasing_mean_duration,chased_duration,chased_count,chased_mean_duration,chasing_duration_fraction,chasing_event_rate,chased_duration_fraction,chased_event_rate,chasing_duration_ratio,chased_duration_ratio,chasing_event_ratio,chased_event_ratio,total_distance,valid_locomotion_duration,mean_speed,median_speed,mean_abs_angular_velocity,mean_abs_acceleration,valid_locomotion_duration_fraction,nest_frames,weighted_sum,alone_sum,weighted_co_occupancy,alone_fraction,feeding_frames,drinking_frames,ramps_frames,s_wall_frames,feeding_together_frames,drinking_together_frames,ramps_together_frames,s_wall_together_frames,feeding_alone_frames,drinking_alone_frames,ramps_alone_frames,s_wall_alone_frames,feeding_together_fraction,feeding_alone_fraction,drinking_together_fraction,drinking_alone_fraction,ramps_together_fraction,ramps_alone_fraction,s_wall_together_fraction,s_wall_alone_fraction
1,active,1,blue,13.0,12.5-13.0,32.0,195.24,6.10125,174.64,1625.36,21,8.316190476190476,0.1201210808682384,0.0196879460550278,21.0,93.6,4.457142857142857,0.0575872422109563,0.012920214598612,21.0,88.8,4.228571428571429,0.0546340503027021,0.012920214598612,69,1252.8,18.156521739130433,0.7707830880543387,0.0424521336811537,7.0,15.84,2.262857142857143,0.0097455332972387,0.0043067381995373,8.0,30.84,3.855,0.018974258010533,0.0049219865137569,8.0,46.52,5.815,0.0286213515774966,0.0049219865137569,6.0,20.76,3.4600000000000004,0.0127725550031992,0.0036914898853177,3.0,3.64,1.2133333333333334,0.0022395038637594,0.0018457449426588,21.0,77.72,3.7009523809523808,0.0478170989811487,0.012920214598612,4.0,11.88,2.97,0.007309149972929,0.0024609932568784,0.0,0.0,0.0,2.4,3.0,0.7999999999999999,0.0,0.0,0.001476595954127,0.0018457449426588,0.0,1.0,0.0,1.0,88.02194658859527,1584.0,0.0555694107251232,0.0264878626050759,2.0014241164690407,0.048151770900322,0.9745533297238766,4387,336.66666666666663,3386,0.0767418889142162,0.7718258490996125,1950.0,619.0,4602.0,4913.0,503.0,0.0,1347.0,1355.0,1447.0,619.0,3255.0,3558.0,0.2579487179487179,0.742051282051282,0.0,1.0,0.2926988265971317,0.7073011734028684,0.2757989008752289,0.724201099124771
1,active,1,blue,13.5,13.0-13.5,30.0,195.04,6.501333333333333,110.12,1689.88,14,7.865714285714286,0.115416479276635,0.0177527398395152,18.0,86.92,4.828888888888889,0.0514356048950221,0.0106516439037091,18.0,154.6,8.588888888888889,0.0914857859729684,0.0106516439037091,71,1138.36,16.033239436619716,0.6736336307903519,0.042014817620186,4.0,8.64,2.16,0.0051127890737803,0.002367031978602,11.0,64.0,5.818181818181818,0.0378725116576324,0.0065093379411555,16.0,101.6,6.35,0.0601226122564915,0.0094681279144081,3.0,9.16,3.0533333333333332,0.0054205032309986,0.0017752739839515,2.0,5.72,2.86,0.0033848557294009,0.001183515989301,27.0,126.68,4.691851851851852,0.0749639027623263,0.0159774658555637,4.0,8.8,2.2,0.0052074703529244,0.002367031978602,0.8,1.0,0.8,0.0,0.0,0.0,0.0004734063957204,0.0005917579946505,0.0,0.0,1.0,0.0,1.0,0.0,74.94092024519135,1674.0,0.0447675748179159,0.0177526617158527,1.9833894193569983,0.0401107343257431,0.99060288304495,2767,270.0,2068,0.0975786049873509,0.7473798337549693,4167.0,377.0,6074.0,4906.0,1328.0,113.0,1651.0,1240.0,2839.0,264.0,4423.0,3666.0,0.3186945044396448,0.6813054955603551,0.29973474801061,0.7002652519893899,0.2718142904181758,0.7281857095818242,0.2527517325723604,0.7472482674276396
1,active,1,blue,14.0,13.5-14.0,25.0,128.56,5.1424,47.6,1752.4,8,5.95,0.0733622460625428,0.014266149280986,23.0,101.04,4.39304347826087,0.0576580689340333,0.0131248573385071,20.0,64.08,3.2039999999999997,0.0365669938370235,0.0114129194247888,53,1355.72,25.579622641509435,0.7736361561287377,0.0302442364756904,9.0,20.68,2.2977777777777777,0.0118009586852316,0.0051358137411549,23.0,108.32,4.709565217391304,0.0618123716046564,0.0131248573385071,27.0,222.8,8.251851851851852,0.1271399223921479,0.0154074412234649,7.0,38.12,5.445714285714286,0.0217530244236475,0.0039945217986761,5.0,33.32,6.664,0.0190139237616982,0.0028532298561972,30.0,104.12,3.470666666666667,0.0594156585254508,0.0171193791371832,1.0,2.52,2.52,0.0014380278475233,0.0005706459712394,,,,,,,,,,,,,,,73.6649106366116,1746.0,0.0421906704677042,0.0129095932604104,1.9945544491059664,0.0387188164688388,0.9963478657840676,1198,32.666666666666664,1126,0.0272676683361157,0.9398998330550918,8328.0,1798.0,4171.0,3239.0,2550.0,49.0,1434.0,937.0,5778.0,1749.0,2737.0,2302.0,0.3061959654178674,0.6938040345821326,0.0272525027808676,0.9727474972191325,0.343802445456725,0.656197554543275,0.2892868169188021,0.7107131830811979
1,active,1,blue,14.5,14.0-14.5,25.0,174.36,6.9744,37.04,1762.96,6,6.173333333333333,0.0989018468938603,0.0141806961020102,19.0,94.68,4.983157894736842,0.0537051322775332,0.0107773290375277,20.0,66.92,3.346,0.037958887325861,0.0113445568816082,63,1259.2,19.987301587301587,0.7142533012660526,0.0357353541770658,10.0,21.8,2.18,0.0123655670009529,0.0056722784408041,11.0,105.48,9.58909090909091,0.0598311929936016,0.0062395062848845,27.0,113.52,4.204444444444444,0.0643917048600081,0.015315151790171,2.0,7.48,3.74,0.0042428642737214,0.0011344556881608,12.0,46.6,3.8833333333333337,0.0264328175341471,0.0068067341289649,31.0,120.28,3.88,0.0682261650859917,0.0175840631664927,2.0,4.2,2.1,0.0023823569451377,0.0011344556881608,0.8,1.0,0.8,0.8,1.0,0.8,0.0004537822752643,0.0005672278440804,0.0004537822752643,0.0005672278440804,0.5,0.5,0.5,0.5,77.13895479442512,1758.0,0.0438788138762372,0.0183917449985106,1.9618725783727584,0.0392368331473111,0.9971865498933612,932,141.33333333333331,599,0.1516452074391988,0.6427038626609443,5513.0,1366.0,4079.0,4384.0,173.0,0.0,858.0,1402.0,5340.0,1366.0,3221.0,2982.0,0.0313803736622528,0.9686196263377472,0.0,1.0,0.2103456729590586,0.7896543270409414,0.3197992700729927,0.6802007299270073
1,active,1,blue,15.0,14.5-15.0,25.0,146.76,5.8704,106.44,1693.56,8,13.305,0.0866576914901155,0.014761803538109,19.0,170.28,8.962105263157895,0.1005455962587685,0.0112189706889628,10.0,59.36,5.936,0.0350504263208861,0.0059047214152436,60,1300.2,21.67,0.7677318784099767,0.0354283284914617,9.0,18.36,2.04,0.0108410685183873,0.0053142492737192,15.0,217.8,14.52,0.1286048324240062,0.0088570821228654,17.0,59.76,3.5152941176470587,0.0352866151774959,0.0100380264059141,3.0,7.24,2.4133333333333336,0.0042750183046363,0.001771416424573,8.0,14.08,1.76,0.008313847752663,0.0047237771321949,37.0,201.04,5.433513513513513,0.1187085193320579,0.0218474692364014,2.0,6.8,3.4,0.0040152105623656,0.0011809442830487,0.8,1.0,0.8,0.0,0.0,0.0,0.0004723777132194,0.0005904721415243,0.0,0.0,1.0,0.0,1.0,0.0,63.758860043190104,1686.0,0.0378166429674911,0.0130183924048385,2.0231008366705936,0.0346174504090839,0.995536030610076,2669,417.66666666666663,1443,0.1564880729361808,0.5406519295616335,6971.0,544.0,5770.0,3694.0,2338.0,104.0,1663.0,1126.0,4633.0,440.0,4107.0,2568.0,0.3353894706641802,0.6646105293358199,0.1911764705882352,0.8088235294117647,0.2882149046793761,0.711785095320624,0.304818624796968,0.6951813752030319
1,active,1,blue,15.5,15.0-15.5,15.0,112.64,7.509333333333333,1114.04,685.96,10,111.404,0.1642078255291853,0.0218671642661379,5.0,21.8,4.36,0.0317802787334538,0.0072890547553793,9.0,48.44,5.382222222222222,0.0706163624701148,0.0131202985596827,26,1521.44,58.51692307692308,2.2179718934048633,0.0379030847279724,2.0,6.8,3.4,0.0099131144673158,0.0029156219021517,2.0,2.56,1.28,0.0037319960347542,0.0029156219021517,7.0,29.92,4.274285714285715,0.0436177036561898,0.010204676657531,2.0,2.84,1.42,0.0041401831010554,0.0029156219021517,2.0,5.76,2.88,0.0083969910781969,0.0029156219021517,9.0,48.8,5.422222222222222,0.0711411744125021,0.0131202985596827,1.0,3.12,3.12,0.0045483701673566,0.0014578109510758,0.0,0.0,0.0,1.2,1.0,1.2,0.0,0.0,0.001749373141291,0.0014578109510758,0.0,1.0,0.0,1.0,32.20013776899675,679.0,0.047422883312219,0.0164095770638161,1.9383676751720944,0.0429765584780495,0.989853635780512,27861,4891.333333333333,17162,0.1755620161994663,0.6159865044327195,821.0,219.0,1770.0,2831.0,0.0,0.0,487.0,880.0,821.0,219.0,1283.0,1951.0,0.0,1.0,0.0,1.0,0.2751412429378531,0.7248587570621469,0.3108442246555987,0.6891557753444013
1,active,1,blue,16.0,15.5-16.0,,,,1687.6,112.40000000000008,12,140.63333333333333,,,,,,,,,,,,,7,1769.08,252.72571428571428,15.7391459074733,0.0622775800711743,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,55.12,6.124444444444444,0.4903914590747327,0.0800711743772241,,,,,,,,,,,,,,,,,,,,1.5948473673658508,103.0,0.0154839550229694,0.0050608178365263,2.24816742875385,0.0143094416168987,0.9163701067615652,42202,5394.333333333332,27528,0.1278217462047612,0.6522913605990237,,,,,,,,,,,,,,,,,,,,
1,active,1,blue,16.5,16.0-16.5,4.0,24.0,6.0,1242.4,557.5999999999999,21,59.161904761904765,0.0430416068866571,0.0071736011477761,7.0,45.08,6.4399999999999995,0.0808464849354376,0.0125538020086083,4.0,30.56,7.64,0.05480631276901,0.0071736011477761,27,1597.64,59.171851851851855,2.865208034433286,0.0484218077474892,,,,,,3.0,13.64,4.546666666666667,0.0244619799139167,0.0053802008608321,1.0,1.04,1.04,0.0018651362984218,0.001793400286944,1.0,2.84,2.84,0.005093256814921,0.001793400286944,,,,,,11.0,44.24,4.021818181818182,0.0793400286944046,0.0197274031563845,,,,,,0.0,0.0,0.0,1.6,2.0,0.8,0.0,0.0,0.0028694404591104,0.003586800573888,0.0,1.0,0.0,1.0,29.612190923423785,536.0,0.0552466248571339,0.0214668800671636,1.6838404252359096,0.0486043630641448,0.9612625538020088,31081,4472.333333333333,20389,0.1438928391407397,0.6559956243364113,371.0,72.0,1902.0,604.0,0.0,0.0,269.0,0.0,371.0,72.0,1633.0,604.0,0.0,1.0,0.0,1.0,0.1414300736067297,0.8585699263932702,0.0,1.0
1,active,1,blue,17.0,16.5-17.0,,,,1590.68,209.3199999999999,11,144.60727272727274,,,1.0,6.08,6.08,0.0290464360787311,0.0047773743550544,1.0,7.64,7.64,0.0364991400726161,0.0047773743550544,6,1776.88,296.1466666666667,8.488820944009177,0.0286642461303267,1.0,2.36,2.36,0.0112746034779285,0.0047773743550544,3.0,34.32,11.44,0.1639594878654692,0.0143321230651633,,,,,,1.0,1.92,1.92,0.0091725587617045,0.0047773743550544,,,,,,2.0,7.72,3.86,0.0368813300210204,0.0095547487101089,,,,,,,,,,,,,,,,,,,,7.642131004003833,193.0,0.0395965336995017,0.0115313422545947,1.8154992100672425,0.0411042075981221,0.9220332505255115,39778,31049.666666666664,94,0.7805738515427287,0.0023631152898587,861.0,49.0,345.0,0.0,0.0,0.0,59.0,0.0,861.0,49.0,286.0,0.0,0.0,1.0,0.0,1.0,0.1710144927536231,0.8289855072463768,0.0,0.0
1,active,1,blue,17.5,17.0-17.5,13.0,73.84,5.680000000000001,589.24,1210.76,18,32.73555555555556,0.0609864878258284,0.0107370577158148,15.0,111.64,7.442666666666667,0.0922065479533516,0.0123889127490171,12.0,82.64,6.886666666666667,0.0682546499719184,0.0099111301992137,48,1423.96,29.665833333333335,1.1760877465393638,0.0396445207968548,3.0,9.64,3.213333333333334,0.007961941260035,0.0024777825498034,23.0,196.88,8.56,0.162608609468433,0.0189963328818262,2.0,15.88,7.94,0.0131157289636261,0.0016518550332022,1.0,1.48,1.48,0.0012223727245696,0.0008259275166011,1.0,2.44,2.44,0.0020152631405067,0.0008259275166011,11.0,57.6,5.236363636363636,0.0475734249562258,0.0090852026826125,,,,,,,,,,,,,,,,,,,,58.057542851960314,1194.0,0.0486244077487104,0.0133836915774113,1.7955669849585347,0.0473173294209296,0.9861574548217648,14749,3276.9999999999995,6890,0.2221845548850769,0.4671503152756119,5344.0,100.0,4884.0,1859.0,266.0,0.0,1317.0,837.0,5078.0,100.0,3567.0,1022.0,0.0497754491017964,0.9502245508982036,0.0,1.0,0.2696560196560196,0.7303439803439803,0.450242065626681,0.549757934373319
