day,phase,box,mouse,time_bin,time_window,s_wall_count,s_wall_duration,s_wall_mean_duration,nest_duration,outside_nest_duration,nest_count,nest_mean_duration,s_wall_duration_fraction,s_wall_event_rate,ramp1_count,ramp1_duration,ramp1_mean_duration,ramp1_duration_fraction,ramp1_event_rate,ramp2_count,ramp2_duration,ramp2_mean_duration,ramp2_duration_fraction,ramp2_event_rate,non_wall_count,non_wall_duration,non_wall_mean_duration,non_wall_duration_fraction,non_wall_event_rate,woodstick_count,woodstick_duration,woodstick_mean_duration,woodstick_duration_fraction,woodstick_event_rate,feeder_prox_count,feeder_prox_duration,feeder_prox_mean_duration,feeder_prox_duration_fraction,feeder_prox_event_rate,feeder_dist_count,feeder_dist_duration,feeder_dist_mean_duration,feeder_dist_duration_fraction,feeder_dist_event_rate,water_prox_count,water_prox_duration,water_prox_mean_duration,water_prox_duration_fraction,water_prox_event_rate,water_dist_count,water_dist_duration,water_dist_mean_duration,water_dist_duration_fraction,water_dist_event_rate,motionless_count,motionless_duration,motionless_mean_duration,motionless_duration_fraction,motionless_event_rate,speeding_count,speeding_duration,speeding_mean_duration,speeding_duration_fraction,speeding_event_rate,chasing_duration,chasing_count,chasing_mean_duration,chased_duration,chased_count,chased_mean_duration,chasing_duration_fraction,chasing_event_rate,chased_duration_fraction,chased_event_rate,chasing_duration_ratio,chased_duration_ratio,chasing_event_ratio,chased_event_ratio,total_distance,valid_locomotion_duration,mean_speed,median_speed,mean_abs_angular_velocity,mean_abs_acceleration,valid_locomotion_duration_fraction,nest_frames,weighted_sum,alone_sum,weighted_co_occupancy,alone_fraction,feeding_frames,drinking_frames,ramps_frames,s_wall_frames,feeding_together_frames,drinking_together_frames,ramps_together_frames,s_wall_together_frames,feeding_alone_frames,drinking_alone_frames,ramps_alone_frames,s_wall_alone_frames,feeding_together_fraction,feeding_alone_fraction,drinking_together_fraction,drinking_alone_fraction,ramps_together_fraction,ramps_alone_fraction,s_wall_together_fraction,s_wall_alone_fraction
1,active,1,blue,18,12-18,318.0,1673.32,5.262012578616352,4306.64,17293.36,179,24.05944134078213,0.0967608376856782,0.0183885606961284,203.0,772.08,3.8033497536945817,0.0446460375542983,0.0117386095009876,168.0,614.8,3.6595238095238094,0.0355512173458483,0.0097147113111622,621,14734.2,23.72657004830918,0.8520148773864651,0.0359097364537602,27.0,50.16,1.8577777777777775,0.0029005352343327,0.0015612928892939,149.0,1189.36,7.98228187919463,0.068775530030023,0.0086160237223998,110.0,812.92,7.3901818181818175,0.0470076376135117,0.0063608228823085,109.0,630.08,5.780550458715597,0.0364347934698635,0.0063029972197421,57.0,268.0,4.701754385964913,0.0154972775678063,0.0032960627662871,193,1132.2,5.866321243523316,0.0654702151577252,0.0111603528753232,22.0,52.96,2.4072727272727272,0.0030624470895187,0.0012721645764617,52.4,52.0,1.0076923076923077,0.0,0.0,0.0,0.0030300647184815,0.0030069344534549,0.0,0.0,1.0,0.0,1.0,0.0,835.2731739602561,15545,0.0537325940148122,0.019041482118121,1.9037455105372665,0.0463948914433134,0.898899924595336,107845,53204.99999999999,10811,0.4933469330984282,0.1002457230284204,50316.0,22618.0,35043.0,42151.0,8491.0,1187.0,4018.0,6220.0,41825.0,21431.0,31025.0,35931.0,0.1687534780189204,0.8312465219810796,0.052480325404545,0.9475196745954548,0.1146591330650914,0.8853408669349085,0.147564707836113,0.852435292163887
1,active,1,blue,24,18-24,189.0,758.8,4.014814814814814,8557.28,13042.72,176,48.620909090909095,0.0581780487505673,0.0144908424009715,81.0,296.32,3.658271604938271,0.0227191874087613,0.0062103610289878,62.0,232.0,3.741935483870967,0.0177877007250021,0.0047536096765091,451,18263.52,40.495609756097565,1.4002846032116,0.0345786768404136,10.0,15.8,1.58,0.0012114037562716,0.0007667112381466,164.0,1509.92,9.206829268292685,0.1157672632702381,0.0125740643056049,36.0,547.44,15.206666666666669,0.0419728400210999,0.0027601604573279,96.0,533.12,5.553333333333334,0.0408749095280739,0.0073604278862077,35.0,100.2,2.862857142857143,0.0076824466062293,0.0026834893335132,254,1226.04,4.826929133858267,0.0940018646417311,0.0194744654489247,32.0,77.76,2.43,0.0059619465878283,0.0024534759620692,49.2,43.0,1.144186046511628,0.0,0.0,0.0,0.0037722192916814,0.0032968583240305,0.0,0.0,1.0,0.0,1.0,0.0,595.1754326472512,12860,0.0462811378419324,0.009778190418333,1.8893734988160733,0.0377854730624921,0.9859906522565846,214108,156910.99999999997,17543,0.7328591178283855,0.0819352849963569,51634.0,15964.0,13351.0,19159.0,6953.0,330.0,920.0,1113.0,44681.0,15634.0,12431.0,18046.0,0.1346593329976372,0.8653406670023628,0.0206715108995239,0.979328489100476,0.0689086959778293,0.9310913040221708,0.0580928023383266,0.9419071976616734
1,active,1,green,18,12-18,82.0,636.16,7.758048780487805,12662.48,8937.52,564,22.451205673758864,0.0711785819779983,0.0091748046437938,37.0,249.48,6.742702702702703,0.027913783689435,0.0041398508758581,39.0,310.84,7.970256410256409,0.0347792228716691,0.0043636265988775,154,18474.48,119.96415584415584,2.067070059703363,0.0172307306724908,5.0,14.64,2.928,0.0016380382925017,0.0005594393075484,125.0,1057.88,8.463040000000001,0.1183639309338608,0.01398598268871,61.0,372.44,6.105573770491803,0.0416715151406654,0.0068251595520905,41.0,243.52,5.939512195121951,0.0272469320348374,0.0045874023218969,15.0,42.36,2.824,0.00473956981355,0.0016783179226452,67,297.36,4.438208955223881,0.0332709744985186,0.0074964867211485,2.0,7.12,3.56,0.0007966415739489,0.0002237757230193,1.6,2.0,0.8,18.8,19.0,0.9894736842105264,0.0001790205784154,0.0002237757230193,0.0021034917963819,0.0021258693686839,0.0784313725490196,0.9215686274509804,0.0952380952380952,0.9047619047619048,340.3450866922217,6943,0.0490198886205129,0.0135875112816868,1.9954815061530105,0.0436588334209057,0.776837422461712,317126,157765.3333333333,28945,0.4974847011387692,0.0912728694588271,35944.0,7203.0,14084.0,15986.0,11343.0,1111.0,2464.0,3708.0,24601.0,6092.0,11620.0,12278.0,0.3155742265746717,0.6844257734253283,0.1542412883520755,0.8457587116479245,0.1749502982107356,0.8250497017892644,0.2319529588389841,0.7680470411610159
1,active,1,green,24,18-24,57.0,403.52,7.0792982456140345,16300.76,5299.24,381,42.784146981627295,0.0761467682158196,0.0107562593881386,26.0,116.16,4.467692307692308,0.0219201243951962,0.0049063639314316,22.0,124.96,5.68,0.0235807398796808,0.0041515387112114,95,20625.36,217.10905263157895,3.892135476030526,0.0179270989802311,,,,,,118.0,1795.76,15.218305084745763,0.3388712343656826,0.0222673439964976,8.0,112.0,14.0,0.0211351061661672,0.0015096504404405,34.0,300.96,8.851764705882353,0.0567930495693722,0.0064160143718721,4.0,16.24,4.06,0.0030645903940942,0.0007548252202202,66,318.12,4.82,0.0600312497641171,0.0124546161336342,2.0,4.64,2.32,0.0008755972554554,0.0003774126101101,0.0,0.0,0.0,11.2,9.0,1.2444444444444445,0.0,0.0,0.0021135106166167,0.0016983567454955,0.0,1.0,0.0,1.0,146.95749733862385,5019,0.0292802345763346,0.0057201187095763,2.0040031543413366,0.0257378945111781,0.9471169450713688,407900,278068.99999999994,9586,0.6817087521451335,0.0235008580534444,47820.0,7968.0,6076.0,10145.0,7981.0,277.0,568.0,1497.0,39839.0,7691.0,5508.0,8648.0,0.16689669594312,0.8331033040568799,0.0347640562248996,0.9652359437751004,0.0934825543120474,0.9065174456879526,0.147560374568753,0.852439625431247
1,active,1,red,18,12-18,85.0,906.8,10.668235294117649,11300.36,10299.64,190,59.475578947368426,0.0880419121445021,0.0082527156288957,55.0,330.28,6.005090909090908,0.0320671402107258,0.005339992465756,47.0,338.72,7.206808510638298,0.0328865863272891,0.0045632662889188,219,17743.16,81.01899543378995,1.7226971039764498,0.0212628790909196,11.0,25.24,2.2945454545454544,0.0024505710879215,0.0010679984931512,161.0,1663.88,10.334658385093167,0.1615473938894951,0.0156316143088496,71.0,666.36,9.385352112676056,0.0646974068996586,0.0068934448194305,50.0,475.04,9.5008,0.0461220003805958,0.0048545386052328,42.0,153.08,3.644761904761905,0.0148626553937807,0.0040778124283955,133,585.84,4.404812030075188,0.0568796579297917,0.0129130726899192,9.0,20.76,2.306666666666666,0.0020156044288926,0.0008738169489419,1.8,2.0,0.9,12.6,13.0,0.9692307692307692,0.0001747633897883,0.0001941815442093,0.0012233437285186,0.0012621800373605,0.125,0.875,0.1333333333333333,0.8666666666666667,298.63029649016755,8529,0.0350135181721383,0.010923645608843,1.9789552819652632,0.0315756491976005,0.8280871952806118,282699,135134.3333333333,52456,0.4780148968808991,0.1855542467430022,58488.0,15795.0,16827.0,22755.0,12197.0,696.0,1667.0,4084.0,46291.0,15099.0,15160.0,18671.0,0.2085385036246751,0.7914614963753248,0.0440645773979107,0.9559354226020892,0.0990669756938254,0.9009330243061746,0.1794770380136233,0.8205229619863766
1,active,1,red,24,18-24,9.0,99.32,11.035555555555554,19104.0,2496.0,122,156.59016393442624,0.0397916666666666,0.0036057692307692,8.0,45.6,5.7,0.0182692307692307,0.0032051282051282,6.0,28.08,4.68,0.01125,0.0024038461538461,33,21353.96,647.0896969696969,8.555272435897436,0.0132211538461538,,,,,,74.0,1010.96,13.661621621621622,0.4050320512820513,0.0296474358974358,9.0,59.16,6.573333333333333,0.023701923076923,0.0036057692307692,29.0,254.12,8.762758620689656,0.1018108974358974,0.0116185897435897,5.0,13.52,2.7039999999999997,0.0054166666666666,0.0020032051282051,31,138.2,4.458064516129032,0.0553685897435897,0.0124198717948717,2.0,4.84,2.42,0.0019391025641025,0.000801282051282,0.0,0.0,0.0,7.2,7.0,1.0285714285714287,0.0,0.0,0.0028846153846153,0.0028044871794871,0.0,1.0,0.0,1.0,56.39294332051771,2376,0.0237344037544266,0.0051461448663543,1.9397059813321649,0.0203557472921253,0.9519230769230768,477722,305431.3333333333,24075,0.6393495240607159,0.0503954182558056,26836.0,6725.0,1856.0,2492.0,3900.0,299.0,85.0,709.0,22936.0,6426.0,1771.0,1783.0,0.1453271724549113,0.8546728275450887,0.0444609665427509,0.9555390334572492,0.0457974137931034,0.9542025862068966,0.2845104333868379,0.7154895666131621
1,active,1,yellow,18,12-18,185.0,1439.12,7.779027027027026,9241.68,12358.32,213,43.38816901408451,0.1164494850432744,0.0149696722531865,91.0,411.96,4.527032967032967,0.0333346280076903,0.0073634604056214,133.0,687.88,5.17203007518797,0.0556612872947131,0.0107619805928313,302,17578.92,58.20834437086092,1.422436059270192,0.0244369784889855,8.0,15.24,1.905,0.0012331773250733,0.0006473371785161,118.0,1136.08,9.62779661016949,0.0919283527210818,0.0095482233831135,83.0,664.92,8.011084337349397,0.0538034295923717,0.0067161232271053,55.0,490.96,8.926545454545455,0.0397270826455375,0.0044504431022986,25.0,146.92,5.876799999999999,0.0118883472834495,0.002022928682863,155,690.68,4.4559999999999995,0.0558878553071938,0.0125421578337508,4.0,9.4,2.35,0.0007606211847565,0.000323668589258,0.0,0.0,0.0,24.4,24.0,1.0166666666666666,0.0,0.0,0.0019743783944743,0.0019420115355485,0.0,1.0,0.0,1.0,477.7593572838769,10598,0.045080143167001,0.014309949935034,2.0436682613309607,0.0406940945248787,0.8575599272393012,231255,131126.66666666666,16893,0.5670219742996547,0.0730492313679704,45226.0,16027.0,27720.0,36163.0,7893.0,1425.0,3804.0,7539.0,37333.0,14602.0,23916.0,28624.0,0.174523504179012,0.8254764958209879,0.088912460223373,0.9110875397766268,0.1372294372294372,0.8627705627705627,0.2084727483892376,0.7915272516107624
1,active,1,yellow,24,18-24,81.0,446.84,5.516543209876543,14976.88,6623.120000000001,206,72.70330097087378,0.0674666924349853,0.0122298856128229,41.0,214.88,5.240975609756098,0.0324439237096715,0.0061904359274782,76.0,392.92,5.17,0.0593255142591407,0.0114749544021548,161,20425.84,126.86857142857144,3.084020824022515,0.0243087849835123,2.0,3.72,1.86,0.000561668820737,0.0003019724842672,122.0,1517.84,12.441311475409837,0.2291729577600888,0.0184203215403012,18.0,201.0,11.166666666666666,0.0303482346688569,0.0027177523584051,36.0,308.52,8.57,0.0465822754230634,0.0054355047168102,9.0,54.36,6.04,0.0082076121223834,0.0013588761792025,107,422.64,3.9499065420560746,0.0638128253753518,0.0161555279082969,5.0,12.72,2.544,0.0019205449999396,0.000754931210668,0.0,0.0,0.0,30.8,27.0,1.1407407407407408,0.0,0.0,0.0046503762577153,0.0040766285376076,0.0,1.0,0.0,1.0,228.6605141662293,6437,0.0355228389259327,0.0078636307169527,2.0250554128158043,0.0317312137524514,0.9718984406140913,374628,267039.3333333333,4484,0.712811998391293,0.0119692067864655,43111.0,9117.0,15312.0,11252.0,4885.0,308.0,1288.0,1850.0,38226.0,8809.0,14024.0,9402.0,0.1133121477117209,0.8866878522882791,0.0337830426675441,0.9662169573324558,0.0841170323928944,0.9158829676071056,0.1644152150728759,0.8355847849271241
1,active,2,blue,18,12-18,163.0,1366.56,8.383803680981595,6202.48,15397.52,115,53.93460869565217,0.0887519548602632,0.0105861203622401,86.0,595.8,6.927906976744185,0.038694543017317,0.0055853150377463,112.0,622.84,5.561071428571429,0.0404506699780224,0.0072738986538091,376,16228.56,43.16106382978723,1.053972328011264,0.0244195169092165,24.0,51.44,2.143333333333333,0.0033407977388566,0.0015586925686733,130.0,1008.12,7.754769230769231,0.065472881347126,0.0084429180803142,158.0,1252.2,7.925316455696203,0.0813247847705344,0.0102613927437665,52.0,264.12,5.07923076923077,0.0171534117182507,0.0033771672321256,44.0,329.76,7.494545454545454,0.0214164358935724,0.0028576030425678,183,929.88,5.081311475409836,0.0603915435732507,0.0118850308361346,13.0,28.32,2.1784615384615384,0.0018392572310346,0.0008442918080314,3.2,3.0,1.0666666666666669,15.0,14.0,1.0714285714285714,0.0002078256758231,0.0001948365710841,0.0009741828554208,0.0009092373317261,0.1758241758241758,0.8241758241758242,0.1764705882352941,0.8235294117647058,451.0105937218362,13716,0.0328820788656923,0.0099879107991307,2.0358963429378494,0.029845107042201,0.8907928029968463,155177,85930.66666666666,29666,0.553759040751314,0.1911752385985036,56796.0,14943.0,30664.0,34327.0,16265.0,1650.0,7573.0,11300.0,40531.0,13293.0,23091.0,23027.0,0.2863758011127544,0.7136241988872456,0.1104195944589439,0.889580405541056,0.2469671275763109,0.753032872423689,0.3291869373962187,0.6708130626037813
1,active,2,blue,24,18-24,65.0,501.4,7.713846153846154,11900.72,9699.28,107,111.22168224299064,0.0516945587713727,0.006701528360868,45.0,424.56,9.434666666666669,0.0437723212444635,0.004639519634447,65.0,315.44,4.8529230769230765,0.0325220016331109,0.006701528360868,180,19775.6,109.86444444444444,2.0388729885104873,0.0185580785377883,7.0,15.36,2.1942857142857144,0.0015836227018912,0.0007217030542473,141.0,1034.44,7.336453900709221,0.1066512153479433,0.0145371615212675,154.0,1507.16,9.786753246753248,0.1553888536056284,0.0158774671934411,27.0,178.04,6.594074074074074,0.0183560016825991,0.0027837117806682,27.0,287.2,10.637037037037036,0.0296104453114045,0.0027837117806682,138,656.8,4.759420289855072,0.0677163665756633,0.0142278602123044,18.0,46.08,2.56,0.0047508681056738,0.0018558078537788,0.0,0.0,0.0,28.4,24.0,1.1833333333333331,0.0,0.0,0.0029280523915177,0.0024744104717051,0.0,1.0,0.0,1.0,243.4034922103472,9593,0.0253730316074582,0.00549974928263,2.0939811923119147,0.0230411710489855,0.9890424856277992,297625,192248.99999999997,9919,0.6459437211255774,0.0333271734565308,63835.0,11685.0,18610.0,12600.0,16788.0,1728.0,3686.0,2219.0,47047.0,9957.0,14924.0,10381.0,0.2629905224406673,0.7370094775593327,0.1478818998716303,0.8521181001283697,0.1980655561526061,0.8019344438473939,0.1761111111111111,0.8238888888888889
