day,phase,box,mouse,time_bin,time_window,s_wall_count,s_wall_duration,s_wall_mean_duration,nest_duration,outside_nest_duration,nest_count,nest_mean_duration,s_wall_duration_fraction,s_wall_event_rate,ramp1_count,ramp1_duration,ramp1_mean_duration,ramp1_duration_fraction,ramp1_event_rate,ramp2_count,ramp2_duration,ramp2_mean_duration,ramp2_duration_fraction,ramp2_event_rate,non_wall_count,non_wall_duration,non_wall_mean_duration,non_wall_duration_fraction,non_wall_event_rate,woodstick_count,woodstick_duration,woodstick_mean_duration,woodstick_duration_fraction,woodstick_event_rate,feeder_prox_count,feeder_prox_duration,feeder_prox_mean_duration,feeder_prox_duration_fraction,feeder_prox_event_rate,feeder_dist_count,feeder_dist_duration,feeder_dist_mean_duration,feeder_dist_duration_fraction,feeder_dist_event_rate,water_prox_count,water_prox_duration,water_prox_mean_duration,water_prox_duration_fraction,water_prox_event_rate,water_dist_count,water_dist_duration,water_dist_mean_duration,water_dist_duration_fraction,water_dist_event_rate,motionless_count,motionless_duration,motionless_mean_duration,motionless_duration_fraction,motionless_event_rate,speeding_count,speeding_duration,speeding_mean_duration,speeding_duration_fraction,speeding_event_rate,chasing_duration,chasing_count,chasing_mean_duration,chased_duration,chased_count,chased_mean_duration,chasing_duration_fraction,chasing_event_rate,chased_duration_fraction,chased_event_rate,chasing_duration_ratio,chased_duration_ratio,chasing_event_ratio,chased_event_ratio,total_distance,valid_locomotion_duration,mean_speed,median_speed,mean_abs_angular_velocity,mean_abs_acceleration,valid_locomotion_duration_fraction,nest_frames,weighted_sum,alone_sum,weighted_co_occupancy,alone_fraction,feeding_frames,drinking_frames,ramps_frames,s_wall_frames,feeding_together_frames,drinking_together_frames,ramps_together_frames,s_wall_together_frames,feeding_alone_frames,drinking_alone_frames,ramps_alone_frames,s_wall_alone_frames,feeding_together_fraction,feeding_alone_fraction,drinking_together_fraction,drinking_alone_fraction,ramps_together_fraction,ramps_alone_fraction,s_wall_together_fraction,s_wall_alone_fraction
0,inactive,1,blue,12.0,11.5-12.0,,,,689.72,1110.28,2.0,344.86,,,,,,,,,,,,,1,693.0,693.0,0.6241668768238643,0.0009006737039305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,17245.0,10680.999999999998,2268.0,0.6193679327341257,0.1315163815598724,,,,,,,,,,,,,,,,,,,,
0,inactive,1,green,12.0,11.5-12.0,,,,551.2,1248.8,23.0,23.96521739130435,,,,,,,,1.0,6.72,6.72,0.0053811659192825,0.0008007687379884,3,681.84,227.28,0.5459961563100577,0.0024023062139654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.781547920681187,122.0,0.0391930157432884,0.0108116027820908,2.1039803930697953,0.0479556309470379,0.0976937860345932,13803.0,10177.333333333332,0.0,0.7373276340892075,0.0,0.0,0.0,169.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.2307692307692307,0.7692307692307693,0.0,0.0
0,inactive,1,red,12.0,11.5-12.0,3.0,14.2,4.733333333333333,210.88,1589.12,5.0,42.176,0.0089357631896898,0.0018878372935964,7.0,29.16,4.1657142857142855,0.0183497784937575,0.0044049536850583,3.0,30.84,10.28,0.0194069673781715,0.0018878372935964,31,545.68,17.60258064516129,0.343385018123238,0.01950765203383,,,,,,7.0,23.88,3.4114285714285715,0.0150271848570277,0.0044049536850583,4.0,10.4,2.6,0.006544502617801,0.0025171163914619,,,,,,1.0,1.36,1.36,0.000855819573097,0.0006292790978654,,,,,,2.0,4.64,2.32,0.0029198550140958,0.0012585581957309,,,,,,,,,,,,,,,34.501132777915714,474.0,0.0727871999534086,0.0507604765051734,1.7749649342206455,0.0617226729087744,0.29827829238824,5277.0,4603.666666666666,0.0,0.8724022487524477,0.0,868.0,35.0,1510.0,358.0,0.0,0.0,0.0,0.0,868.0,35.0,1510.0,358.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0,inactive,1,yellow,12.0,11.5-12.0,,,,518.64,1281.36,13.0,39.895384615384614,,,,,,,,2.0,5.4,2.7,0.0042142723356433,0.0015608416057938,8,650.24,81.28,0.5074608228756946,0.0062433664231753,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.6,4.6,0.0035899356933258,0.0007804208028969,,,,,,,,,,,,,,,,,,,,7.352583759148622,159.0,0.0462426651518781,0.0128129863742731,2.135339713737257,0.0477983627359961,0.1240869076606106,12979.0,9810.0,0.0,0.7558363510285846,0.0,0.0,0.0,137.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.2846715328467153,0.7153284671532847,0.0,0.0
0,inactive,2,blue,12.0,11.5-12.0,2.0,5.68,2.84,607.68,1192.3200000000002,6.0,101.28,0.0047638217928072,0.0016774020397208,,,,,,,,,,,4,647.28,161.82,0.5428743961352656,0.0033548040794417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.611063757561503,75.0,0.06148085010082,0.05046977018106,1.3098855592602698,0.0347600053820213,0.062902576489533,15198.0,9509.0,129.0,0.6256744308461639,0.008487958941966,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,inactive,2,green,12.0,11.5-12.0,2.0,3.36,1.68,620.2,1179.8,5.0,124.04,0.0028479403288693,0.0016952025767079,,,,,,,,,,,6,652.84,108.80666666666669,0.5533480250889982,0.0050856077301237,,,,,,1.0,3.12,3.12,0.0026445160196643,0.0008476012883539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.926987397678008,65.0,0.0604151907335078,0.0453019505729872,1.6721277444167038,0.0454781755689224,0.0550940837430072,15510.0,9655.999999999998,0.0,0.6225660863958735,0.0,79.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,86.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,inactive,2,red,12.0,11.5-12.0,2.0,7.2,3.6,,,,,,,9.0,120.72,13.413333333333334,,,7.0,77.12,11.017142857142858,,,33,373.76,11.326060606060606,,,,,,,,2.0,7.68,3.84,,,1.0,3.44,3.44,,,,,,,,1.0,1.24,1.24,,,2.0,4.44,2.22,,,1.0,2.48,2.48,,,,,,,,,,,,,,,,,30.943581598169636,693.0,0.0446516328977916,0.020797931679465,1.7821695192723717,0.0394681226062134,,,,,,,281.0,32.0,4962.0,182.0,0.0,0.0,0.0,0.0,281.0,32.0,4962.0,182.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0,inactive,2,yellow,12.0,11.5-12.0,,,,684.6,1115.4,3.0,228.2,,,,,,,,,,,,,2,690.64,345.32,0.6191859422628653,0.0017930787161556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0090189194781899,3.0,0.0030063064927299,0.0030525513655704,1.284070515183566,0.0044400924298343,0.0026896180742334,17118.0,10190.333333333332,5.0,0.59529929508899,0.0002920901974529,,,,,,,,,,,,,,,,,,,,
0,inactive,3,blue,12.0,11.5-12.0,,,,517.64,1282.36,4.0,129.41,,,,,,,,,,,,,3,658.28,219.42666666666665,0.5133347889828129,0.0023394366636513,,,,,,,,,,,4.0,94.48,23.62,0.0736766586605945,0.0031192488848685,,,,,,,,,,,5.0,13.44,2.6879999999999997,0.0104806762531582,0.0038990611060856,,,,,,0.0,0.0,0.0,3.0,2.0,1.5,0.0,0.0,0.0023394366636513,0.0015596244424342,0.0,1.0,0.0,1.0,5.6693672821476575,170.0,0.0333492193067509,0.0037304144835942,2.083404093884719,0.0300633842374087,0.1325680776069122,12945.0,5244.666666666666,2873.0,0.405149993562508,0.2219389725762842,2366.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,2326.0,0.0,0.0,0.0,0.0169061707523246,0.9830938292476754,0.0,0.0,0.0,0.0,0.0,0.0
0,inactive,3,green,12.0,11.5-12.0,9.0,32.64,3.626666666666667,219.96,1580.04,21.0,10.474285714285717,0.0206577048682311,0.0056960583276372,9.0,44.88,4.986666666666667,0.0284043441938178,0.0056960583276372,8.0,28.48,3.56,0.0180248601301232,0.0050631629578998,11,635.52,57.77454545454545,0.4022176653755601,0.0069618490671122,3.0,6.0,2.0,0.0037973722184248,0.0018986861092124,1.0,1.52,1.52,0.0009620009620009,0.0006328953697374,4.0,15.6,3.9,0.0098731677679046,0.0025315814789499,2.0,9.96,4.98,0.0063036378825852,0.0012657907394749,1.0,0.96,0.96,0.0006075795549479,0.0006328953697374,1.0,3.12,3.12,0.0019746335535809,0.0006328953697374,,,,,,,,,,,,,,,,,,,,41.081810066147355,449.0,0.0914962362274996,0.0489325019437513,2.020636565160371,0.0826760164479054,0.2841700210121263,5520.0,3658.3333333333335,17.0,0.6627415458937198,0.0030797101449275,433.0,276.0,1851.0,825.0,82.0,140.0,286.0,165.0,351.0,136.0,1565.0,660.0,0.1893764434180138,0.8106235565819861,0.5072463768115942,0.4927536231884058,0.1545110750945434,0.8454889249054565,0.2,0.8
