day,phase,box,mouse,time_bin,time_window,s_wall_count,s_wall_duration,s_wall_mean_duration,nest_duration,outside_nest_duration,nest_count,nest_mean_duration,s_wall_duration_fraction,s_wall_event_rate,ramp1_count,ramp1_duration,ramp1_mean_duration,ramp1_duration_fraction,ramp1_event_rate,ramp2_count,ramp2_duration,ramp2_mean_duration,ramp2_duration_fraction,ramp2_event_rate,non_wall_count,non_wall_duration,non_wall_mean_duration,non_wall_duration_fraction,non_wall_event_rate,woodstick_count,woodstick_duration,woodstick_mean_duration,woodstick_duration_fraction,woodstick_event_rate,feeder_prox_count,feeder_prox_duration,feeder_prox_mean_duration,feeder_prox_duration_fraction,feeder_prox_event_rate,feeder_dist_count,feeder_dist_duration,feeder_dist_mean_duration,feeder_dist_duration_fraction,feeder_dist_event_rate,water_prox_count,water_prox_duration,water_prox_mean_duration,water_prox_duration_fraction,water_prox_event_rate,water_dist_count,water_dist_duration,water_dist_mean_duration,water_dist_duration_fraction,water_dist_event_rate,motionless_count,motionless_duration,motionless_mean_duration,motionless_duration_fraction,motionless_event_rate,speeding_count,speeding_duration,speeding_mean_duration,speeding_duration_fraction,speeding_event_rate,chasing_duration,chasing_count,chasing_mean_duration,chased_duration,chased_count,chased_mean_duration,chasing_duration_fraction,chasing_event_rate,chased_duration_fraction,chased_event_rate,chasing_duration_ratio,chased_duration_ratio,chasing_event_ratio,chased_event_ratio,total_distance,valid_locomotion_duration,mean_speed,median_speed,mean_abs_angular_velocity,mean_abs_acceleration,valid_locomotion_duration_fraction,nest_frames,weighted_sum,alone_sum,weighted_co_occupancy,alone_fraction,feeding_frames,drinking_frames,ramps_frames,s_wall_frames,feeding_together_frames,drinking_together_frames,ramps_together_frames,s_wall_together_frames,feeding_alone_frames,drinking_alone_frames,ramps_alone_frames,s_wall_alone_frames,feeding_together_fraction,feeding_alone_fraction,drinking_together_fraction,drinking_alone_fraction,ramps_together_fraction,ramps_alone_fraction,s_wall_together_fraction,s_wall_alone_fraction
0,inactive,1,blue,12,8-12,,,,689.72,13710.28,2.0,344.86,,,,,,,,,,,,,1,693.0,693.0,0.050546013648153,7.29379706322555e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,0.0,17245.0,10680.999999999998,2268.0,0.6193679327341257,0.1315163815598724,,,,,,,,,,,,,,,,,,,,
0,inactive,1,green,12,8-12,,,,551.2,13848.8,23.0,23.96521739130435,,,,,,,,1.0,6.72,6.72,0.0004852405984634,7.220842239038762e-05,3,681.84,227.28,0.0492345907226619,0.0002166252671711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.781547920681187,122,0.0391930157432884,0.0108116027820908,2.1039803930697953,0.0479556309470379,0.0088094275316272,13803.0,10177.333333333332,0.0,0.7373276340892075,0.0,0.0,0.0,169.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.2307692307692307,0.7692307692307693,0.0,0.0
0,inactive,1,red,12,8-12,3.0,14.2,4.733333333333333,210.88,14189.12,5.0,42.176,0.0010007667846913,0.0002114296023995,7.0,29.16,4.1657142857142855,0.0020550957353239,0.0004933357389323,3.0,30.84,10.28,0.0021734963126677,0.0002114296023995,31,545.68,17.60258064516129,0.0384576351458018,0.002184772558129,,,,,,7.0,23.88,3.4114285714285715,0.0016829796351006,0.0004933357389323,4.0,10.4,2.6,0.0007329559549852,0.0002819061365327,,,,,,1.0,1.36,1.36,9.584808642114522e-05,7.047653413319501e-05,,,,,,2.0,4.64,2.32,0.000327011118378,0.0001409530682663,,,,,,,,,,,,,,,34.501132777915714,474,0.0727871999534086,0.0507604765051734,1.7749649342206455,0.0617226729087744,0.0334058771791344,5277.0,4603.666666666666,0.0,0.8724022487524477,0.0,868.0,35.0,1510.0,358.0,0.0,0.0,0.0,0.0,868.0,35.0,1510.0,358.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0,inactive,1,yellow,12,8-12,,,,518.64,13881.36,13.0,39.895384615384614,,,,,,,,2.0,5.4,2.7,0.0003890108750151,0.0001440781018574,8,650.24,81.28,0.0468426724758957,0.0005763124074298,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.6,4.6,0.0003313796342721,7.203905092872744e-05,,,,,,,,,,,,,,,,,,,,7.352583759148622,159,0.0462426651518781,0.0128129863742731,2.135339713737257,0.0477983627359961,0.0114542090976676,12979.0,9810.0,0.0,0.7558363510285846,0.0,0.0,0.0,137.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.2846715328467153,0.7153284671532847,0.0,0.0
0,inactive,2,blue,12,8-12,2.0,5.68,2.84,607.68,13792.32,6.0,101.28,0.0004118233915686,0.0001450082364678,,,,,,,,,,,4,647.28,161.82,0.0469304656504489,0.0002900164729356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.611063757561503,75,0.06148085010082,0.05046977018106,1.3098855592602698,0.0347600053820213,0.0054378088675436,15198.0,9509.0,129.0,0.6256744308461639,0.008487958941966,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,inactive,2,green,12,8-12,2.0,3.36,1.68,620.2,13779.8,5.0,124.04,0.0002438351790301,0.0001451399875179,,,,,,,,,,,6,652.84,108.80666666666669,0.0473765947256128,0.0004354199625538,,,,,,1.0,3.12,3.12,0.000226418380528,7.256999375898054e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.926987397678008,65,0.0604151907335078,0.0453019505729872,1.6721277444167038,0.0454781755689224,0.0047170495943337,15510.0,9655.999999999998,0.0,0.6225660863958735,0.0,79.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,86.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,inactive,2,red,12,8-12,2.0,7.2,3.6,,,,,,,9.0,120.72,13.413333333333334,,,7.0,77.12,11.017142857142858,,,33,373.76,11.326060606060606,,,,,,,,2.0,7.68,3.84,,,1.0,3.44,3.44,,,,,,,,1.0,1.24,1.24,,,2.0,4.44,2.22,,,1.0,2.48,2.48,,,,,,,,,,,,,,,,,30.943581598169636,693,0.0446516328977916,0.020797931679465,1.7821695192723717,0.0394681226062134,,,,,,,281.0,32.0,4962.0,182.0,0.0,0.0,0.0,0.0,281.0,32.0,4962.0,182.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0,inactive,2,yellow,12,8-12,,,,684.6,13715.4,3.0,228.2,,,,,,,,,,,,,2,690.64,345.32,0.0503550753167971,0.0001458214853376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0090189194781899,3,0.0030063064927299,0.0030525513655704,1.284070515183566,0.0044400924298343,0.0002187322280064,17118.0,10190.333333333332,5.0,0.59529929508899,0.0002920901974529,,,,,,,,,,,,,,,,,,,,
0,inactive,3,blue,12,8-12,,,,517.64,13882.36,4.0,129.41,,,,,,,,,,,,,3,658.28,219.42666666666665,0.0474184504651946,0.000216101585033,,,,,,,,,,,4.0,94.48,23.62,0.0068057592513088,0.0002881354467107,,,,,,,,,,,5.0,13.44,2.6879999999999997,0.0009681351009482,0.0003601693083884,,,,,,0.0,0.0,0.0,3.0,2.0,1.5,0.0,0.0,0.000216101585033,0.0001440677233553,0.0,1.0,0.0,1.0,5.6693672821476575,170,0.0333492193067509,0.0037304144835942,2.083404093884719,0.0300633842374087,0.0122457564852085,12945.0,5244.666666666666,2873.0,0.405149993562508,0.2219389725762842,2366.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,2326.0,0.0,0.0,0.0,0.0169061707523246,0.9830938292476754,0.0,0.0,0.0,0.0,0.0,0.0
0,inactive,3,green,12,8-12,9.0,32.64,3.626666666666667,219.96,14180.04,21.0,10.474285714285717,0.0023018270752409,0.0006346949655995,9.0,44.88,4.986666666666667,0.0031650122284563,0.0006346949655995,8.0,28.48,3.56,0.0020084569578082,0.0005641733027551,11,635.52,57.77454545454545,0.0448179271708683,0.0007757382912883,3.0,6.0,2.0,0.0004231299770663,0.0002115649885331,1.0,1.52,1.52,0.0001071929275234,7.052166284439253e-05,4.0,15.6,3.9,0.0011001379403725,0.0002820866513775,2.0,9.96,4.98,0.0007023957619301,0.0001410433256887,1.0,0.96,0.96,6.770079633061684e-05,7.052166284439253e-05,1.0,3.12,3.12,0.0002200275880745,7.052166284439253e-05,,,,,,,,,,,,,,,,,,,,41.081810066147355,449,0.0914962362274996,0.0489325019437513,2.020636565160371,0.0826760164479054,0.0316642266171322,5520.0,3658.3333333333335,17.0,0.6627415458937198,0.0030797101449275,433.0,276.0,1851.0,825.0,82.0,140.0,286.0,165.0,351.0,136.0,1565.0,660.0,0.1893764434180138,0.8106235565819861,0.5072463768115942,0.4927536231884058,0.1545110750945434,0.8454889249054565,0.2,0.8
